MUTTER,"Frau mit Kindern"
WAERMTE,"Gefuehl von Geborgenheit"
KAELTE,"Mangel an Gefuehl"
ZUWENDUNG,"Aktive Zuneigung erweisen"
AUFMERKSAMKEIT,"Konzentration auf andere Person"
AUFMERKSAM,"Auf etwas fokussiert"
UNAUFMERKSAM,"Nicht konzentriert bei Etwas"
IGNORIEREN,"Absichtlich nicht beachten"
VERSTAENDNIS,"Einfuehlung in Lage"
VERSTAENDNISVOLL,"Mit Einfuehlungsvermoegen"
EINFUEHLSAM,"Feinfuehlig fuer Gefuehle"
RUECKSICHTSLOSIGKEIT,"Missachtung der Gefuehle anderer"
RUECKSICHTSLOS,"Ohne Respekt vor Beduerfnissen"
RUECKSICHT,"Beruecksichtigung von Gefuehlen"
RESPEKT,"Achtung vor Menschenwuerde"
RESPEKTIEREN,"Achten der Grenzen"
RESPEKTVOLL,"Mit Achtung behandelnd"
UNTERSTAETZEN,"Helfen bei Herausforderung"
STUETZE,"Hilfe bei Schwierigkeit"
HAELT,"Gibt Unterstuetzung"
BEISTAND,"Hilfe in Notzeit"
ABLEHNUNG,"Verweigerung von Annahme"
AKZEPTANZ,"Annahme von Situation"
ANNEHMEN,"Akzeptieren ohne Vorbehalte"
GEBORGENHEIT,"Gefuehl der Sicherheit"
HEIM,"Staette der Familie"
ZUHAUSE,"Ort der Vertrautheit"
NAEHA,"Physische oder emotionale Distanz verringern"
NAEHE,"Intimite oder Vertrautheit"
ENTFERNUNG,"Trennung von geliebtem Menschen"
FERNWEH,"Sehnsucht nach Entferntheit"
HEIMWEH,"Sehnsucht nach Heim"
KUNST,"Kreativität mit Pinsel oder Stift"
LIED,"Melodie mit Text zum Singen"
TANZ,"Bewegung zur Musik"
FILM,"Bewegte Bilder auf Leinwand"
BILD,"Kunstwerk zum Anschauen"
BUCH,"Geschichten zwischen Papierseiten"
MUSIK,"Töne in harmonischer Abfolge"
OPER,"Dramatische Aufführung mit Gesang"
BALLETT,"Tänzer in klassischer Bewegung"
THEATER,"Bühnenstücke live aufgeführt"
COMEDY,"Aufführung zum Lachen"
DRAMA,"Ernsthaftes Theaterstück"
POESIE,"Kunstvolle Sprachgestaltung"
GEDICHT,"Kurzes literarisches Kunstwerk"
ROMAN,"Lange erzählte Geschichte"
NOVELLE,"Mittellange Prosaerzählung"
SONETT,"Gedichtform mit 14 Zeilen"
FABEL,"Lehrhafte Tiergeschichte"
SAGE,"Volkstraditionelle Erzählung"
MAERCHEN,"Fantasy-Geschichte mit Zauberei"
PROSA,"Nicht in Versen geschriebener Text"
VERS,"Einzelne Gedichtzeile"
STANZA,"Gedichtstrophe aus mehreren Versen"
REIM,"Gleichlautende Wortendungen"
RITMUS,"Gleichmäßiger Taktablauf"
LYRIK,"Gefühlsvolle Gedichtkunst"
EPIK,"Erzählende Literaturform"
DRAMATIK,"Handlung als Bühnenstück"
ROLLEN,"Charaktere spielen"
SCHAUSPIELER,"Person auf der Bühne"
SCHAUPLATZ,"Ort der Handlung"
SZENE,"Einzelner Aufzugsabschnitt"
AKT,"Großer Aufzugsabschnitt"
DIALOG,"Gespräch zwischen Personen"
MONOLOG,"Rede einer einzelnen Person"
PUBLIKUM,"Zuschauer bei Aufführung"
ZUSCHAUER,"Person im Publikum"
APPLAUS,"Beifall durch Händeklatschen"
PREMIERE,"Erste Aufführung"
GASTSPIEL,"Auftritt auswärtiger Künstler"
TOURNEE,"Reise mit Aufführungen"
KONZERT,"Musikaufführung live"
SYMPHONIK,"Große Orchestermusik"
SINFONIE,"Großes Orchesterstück"
OUVERTUERE,"Eröffnungsstück"
HYMNE,"Würdevoller Gesang"
HYMNUS,"Erhebender Loblied"
KANTATE,"Mehrteiliges Gesangswerk"
ORATORIUM,"Großes geistliches Werk"
MOTETTE,"Mehrstimmiges Vokalwerk"
CHORALE,"Gemeindlicher Gesang"
CHOR,"Viele Sänger zusammen"
SOLO,"Auftritt einer Person"
ARIOSE,"Gesangsmelodie"
ARIE,"Einzelner Gesangspart"
KAVATINE,"Kurze Opernmelodie"
TERZETT,"Drei Sänger zusammen"
QUARTET,"Vier Musikanten zusammen"
QUINTETT,"Fünf Musiker zusammen"
SEXTETT,"Sechs Musiker zusammen"
ENSEMBLE,"Gruppe von Künstlern"
KLAVIER,"Schwarzweiße Tasteninstrument"
ORGEL,"Große Kirchenmaschine"
VIOLINE,"Streichinstrument mit Bogen"
FLÖTE,"Blasinstrument zum Pfeifen"
TROMPETE,"Blechblasinstrument"
TROMMEL,"Schlaginstrument zum Schlag"
HARFE,"Zupfinstrument mit Draht"
GITARRE,"Zupfinstrument mit Saiten"
LEIER,"Antikes Zupfinstrument"
LUTE,"Mittelalterliches Zupfinstrument"
LAUTE,"Renaissance-Zupfinstrument"
MANDOLINE,"Kleine Zupfmaschine"
ZITHER,"Saiteninstrument flach"
LYRA,"Altes Blasinstrument"
PANFLOETE,"Rohrinstrument mehrfach"
DUDELSACK,"Schottisches Blasinstrument"
AKKORDEON,"Tragbares Harmoniuminstrument"
MUNDHARMONIKA,"Kleine Blasmaschine"
METALL,"Material für Skulpturen"
STEIN,"Hartes Bildhauerwerk"
HOLZ,"Naturstoff für Schnitzkunst"
MARMOR,"Edles Steinmaterial"
BRONZE,"Gegossenes Metallwerk"
GIPS,"Gießstoff für Abgüsse"
FIGUR,"Geformte Kunstgestalt"
STANDBILD,"Unbewegliche Kunstgestalt"
STATUETTE,"Kleine Figurenskulptur"
RELIEF,"Halberhabene Wandgestaltung"
ORNAMENTSYMBOL,"Verzierungsmuster"
MOSAIK,"Bild aus Steinteilchen"
FRESKO,"Wandmalerei in Putz"
GEMAELDE,"Kunstwerk mit Farben"
PASTELL,"Farbstift zum Malen"
AQUARELL,"Leichte Farbmalerei"
KOHLEZEICHNUNG,"Dunkles Malwerk"
GRAFIK,"Drucktechnik-Kunstwerk"
KUPFERSTICH,"Graviertes Kupferwerk"
HOLZSCHNITT,"Druckwerk aus Holz"
LITHOGRAFIE,"Steindruck-Kunstwerk"
KATZE,"Schnurrende Hausgenossin"
HUND,"Bester Freund des Menschen"
VOGEL,"Fliegt mit Federn"
FISCH,"Schwimmt im Wasser"
PFERD,"Tragendes Reittier"
KUHLE,"Naerrischer Vogel"
RABE,"Schwarzer Feder-Vogel"
ENTE,"Wassergeflügel quakt"
GANS,"Honkende Wasserfowl"
SCHAF,"Wolliges Bauerngetier"
ZIEGE,"Haertige Bergbewohnerin"
SCHWEIN,"Sauendes Nutztier"
RIND,"Muh-Produzentendes Tier"
ESEL,"Stures Lasttier"
MAUS,"Kleine Nagetierin"
RATTE,"Groessere Nagetierin"
KANINCHEN,"Langohrige Hausgenossin"
HUHN,"Eierlegende Farmerin"
LOEWE,"Maehnentragendes Raubtier"
TIGER,"Gestreiftes Raubtier"
BAER,"Praechtige Waldgenossin"
WOLF,"Heulender Waldjaeger"
FUCHS,"Listige Buschwaelderin"
REHE,"Graceful Waldsprinter"
HIRSCH,"Geweihtragendes Waldtier"
ADLER,"Maechtige Greifvogel"
FALKE,"Schneller Jaegervogel"
EULE,"Nachtsehende Jägerin"
SPECHT,"Baumklopfender Vogel"
SPERBER,"Kleiner Jagdvogel"
TAUBE,"Gurrendes Friedenssymbol"
MOEVE,"Kreischende Seevogel"
KORMORAN,"Tauchendes Meervogel"
PELIKAN,"Fischreusen-tragendes Tier"
FLAMINGO,"Pink-farbige Stelzbewohnerin"
SCHILDKROETE,"Panzer-tragende Reptil"
ECHSE,"Schuppige Reptil"
SCHLANGE,"Giftzahntragende Reptil"
FROSCH,"Quakende Amphibie"
MOLCH,"Schwanztragende Lurch"
SALAMANDER,"Feuer-fabelhafte Lurch"
SKORPION,"Giftschwanztragende Arachnide"
SPINNE,"Netzwebende Achtbeinerin"
KAFER,"Panzertes Insekt"
SCHMETTERLING,"Gefluegelte Bluetenbesucher"
LIBELLE,"Schnelle Flueglerflyer"
BIENE,"Honigproduzierende Insekt"
WESPE,"Stechende Gefluegelter"
HUMMEL,"Dicker Bluetenbesucher"
AMEISE,"Ordnung-liebende Insekt"
FLIEGE,"Brummende Lästling"
MUECKE,"Stechende Insekt"
HEUPFERD,"Springende Insekt"
GRILLE,"Zirpende Insekt"
WURM,"Bodendurchgraeber"
SCHNECKE,"Hausschleppende Molluske"
MUSCHEL,"Perlproduzierende Molluske"
AUSTERN,"Edle Meeresmolluske"
SEESTERN,"Stachelige Meeresstadium"
SEEIGEL,"Igelmaessige Meeresbestie"
KRAKE,"Achtarmiger Meeresrieseling"
KALMAR,"Zehnarmige Meeresbestie"
QUALLE,"Gelatineose Meeresbewohnerin"
KORALLENPOLYP,"Rifffaerbende Winzlinge"
SCHWERTFISCH,"Lanzettisches Meerwesen"
HAIE,"Raubenfische"
THUNFISCH,"Schneller Speisefisch"
FORELLE,"Flussbewoehner-Speisefisch"
LACHSE,"Stromaufwaertslaeufer"
BARSCH,"Stacheliger Susswasserfisch"
HECHT,"Raeubischer Susswasserfisch"
WELS,"Riesiger Felsenfluss-Fisch"
ROCHEN,"Fluegeltiere-Fische"
PERLHUHN,"Gepunkteter Hausgeflugel"
FASAN,"Farbentragendes Waldgeflugel"
REBHUHN,"Feldbewoehner-Geflugel"
WACHTEL,"Piepende Bodenvogel"
STORCH,"Lange-Beiniges Zugvogel"
REIHER,"Fischjaegender Sumpfvogel"
KIEBITZ,"Weide-bewohnender Vogel"
FLEDERMAUS,"Nachtfliegende Saeugetier"
IGEL,"Stacheliger Nachtbesucher"
WASCHBAER,"Maendig-tragende Raubier"
DACHS,"Hoehlen-bewohnender Daechling"
MARDER,"Baum-kletternder Raubbestie"
WIESEL,"Schlanker Raubvogel-Jaeger"
NERZ,"Pelztragende Wasserjagerin"
OTTER,"Fischjaegender Wassertier"
SEEHUND,"Flossentragender Seejager"
ROBBE,"Gepunktete Seebewohnerin"
WAL,"Groesstes Lungen-Atemtier"
DELFIN,"Intelligenter Meerjager"
UNKE,"Giftige Molchtier-Verwandte"
HOSE,"Beinkleidung"
HEMD,"Oberkoerper Herrenkleidung"
ROCK,"Unterkoerper Damenkleidung"
JACKE,"Warme Ueberkleidung"
SCHUHE,"Fussbekleidung"
SOCKE,"Fuss Unterwaeschestaender"
MANTEL,"Lange Ueberkleidung"
MAETZE,"Kopfbedeckung warm"
SCHAL,"Hals Waermer"
GAERTEL,"Taille Befestigung"
BAND,"Schmales Stofffaden"
REISSVERSCHLUSS,"Verschlussvorrichtung modern"
KNOPF,"Befestigungsvorrichtung rund"
NAHT,"Verbindung zwei Stoffe"
SAUM,"Stoffkante Umschlag"
AERMEL,"Arm Bedeckung"
KRAEGEN,"Hals Umrandung"
TASCHE,"Truebringer klein"
SCHLEIFE,"Dekoration Band"
KRAWATTE,"Hals Zierde Herren"
PULLOVER,"Strickbekleidung oberteil"
WESTE,"Aermellos Weste"
SHORTS,"Kurze Hose"
KAPUZE,"Kopf Abdeckung Stoff"
FUTTER,"Innenseite Kleidung"
SAEUMEL,"Rand Saum Kante"
STOFF,"Material Kleidung"
SEIDE,"Feiner Stoff glaenzig"
WOLLE,"Raue Faser Tier"
BAUMWOLLE,"Pflanzenfaser weich"
LEDER,"Tierhaut bearbeitet"
SPITZE,"Durchbruch Stoff elegant"
SAMT,"Weicher Stoff Flor"
NYLON,"Kunstfaser robust"
POLYESTER,"Kunstfaser Dauerhaft"
LEINEN,"Pflanzenfaser natuerlich"
DENIM,"Baumwollstoff robust"
CORD,"Rippiger Stoff Struktur"
SCHNITT,"Form Kleidungsstueck"
FALLE,"Drapierung Stoff absicht"
PLISSE,"Gefalteter Stoff regelmaessig"
ZIERNAHT,"Dekoration Faden sichtbar"
KITTEL,"Schutzkleidung maenner"
SCHUERZE,"Schutzkleidung frauen"
LEIBCHEN,"Unterwaescheoberteil"
PUMPS,"Damenschuhe absatz"
STIEFEL,"Lange Fussbekleidung"
SLIPPER,"Bequeme Schuhe slip"
SANDALEN,"Offene Sommerschuhe"
PANTOFFELN,"Hausschuhe bequem"
TURNSCHUHE,"Sportschuhe Schnuerung"
GUMMIBOOT,"Wasserdichte Fussbekleidung"
BALLERINAS,"Flache Damenschuhe"
MOKASSINS,"Bequeme Leder Schuhe"
SNEAKER,"Casual Sportschuh modern"
GAMASCHEN,"Bein Bedeckung ausbiegung"
HUTBAND,"Hutdekoration Band"
STROHHUT,"Sommerkopfbedeckung natuerlich"
HUETTCHEN,"Kleine Kopfbedeckung elegant"
HELM,"Schutzbedeckung kopf"
KOPFTUCH,"Kopf Umhaengung Stoff"
TIARA,"Kopf Dekoration edel"
DIADEM,"Stirn Schmuck krone"
KAPPE,"Schirm Kopfbedeckung"
BARETT,"Flache Kopfbedeckung militar"
TURBAN,"Kopf Wicklung orientalisch"
BEERE,"Kopf Rundform Huet"
HANDSCHUHE,"Hand Bedeckung Waermung"
FAUSTLINGE,"Hand Bedeckung Kinder"
RIEMEN,"Befestigung Gurt"
TROEDEL,"Quaste Dekoration"
BORTE,"Saum Kantenbande"
SPANGE,"Haft Verschluss Haar"
KAMM,"Haar Ordnung Geraet"
FRISUR,"Haar Stilistik form"
PERRUECKE,"Kunsthaar Kopf Bedeckung"
ZOPF,"Geflochtenes Haar straenge"
PONY,"Haare Stirn Frisur"
LOCKE,"Gewelltes Haar Form"
HAARSPANGE,"Haar Halter Dekoration"
LOCKENWICKLER,"Haar Form Geraet"
LIPPENSTIFT,"Schminke Lipp Farbe"
NAGELLACK,"Schminke Naegel Belag"
PARFUM,"Duft Flaeschchen"
PUDERDOSE,"Schminke Dose Puder"
MASCARA,"Schminke Wimpern"
ROUGE,"Schminke Wange"
EYELINER,"Schminke Auge Strich"
BLUSE,"Frauen Oberkleidung leicht"
TUNIKA,"Lange Frauen Hemd"
CHEMISE,"Unterkleider Frauen"
UNTERHEMD,"Unterkleider Maenner"
UNTERHOESE,"Unterkleider Darunter"
BEHA,"Bruest Halter Unterkleider"
CORSAGE,"Busten Staerker Korsett"
GAESTCHEN,"Damen Mantel kurz"
RAGLAN,"Aermel Schnitt Linie"
SAUMVERZIERUNG,"Dekorativer Rand saeumen"
PASSE,"Mode Gestrig Unmodern"
ELEGANT,"Stil Verfeinert Geschmack"
CHIC,"Stil Schick Modern"
KITSCH,"Geschmack Aufdringlich unfesch"
UMLAGE,"Fenster Schichte Futter"
VORBAU,"Dekolletee Oberteil"
KRINOLINE,"Reifrock Reifband"
REIFROCK,"Tüll Gerippe Tüll"
PANTALON,"Lange Herren Hose"
GALLON,"Verbraeumung Dekoration Band"
FRACK,"Herren Abendanzug"
SMOKING,"Herren Gala Anzug"
TUXEDO,"Anzug Gala Herren"
PERSIMMON,"Pelz Kostbar Verarbeitet"
MOLESKIN,"Pelz Woelkchen fein"
CHINCHILLA,"Pelz Edelreich flaumig"
FALBEL,"Ruesche Dekorative Rausch"
FLUG,"Reise durch die Luft"
ZIEL,"Endpunkt einer Reise"
KARTE,"Wichtig fuer Navigation"
STADT,"Grosser Ort zum Besuchen"
LAND,"Nation zum Erkunden"
HOTEL,"Uebernachtungsort unterwegs"
BAHN,"Verkehrsmittel mit Schienen"
AUTO,"Fahrzeug fuer Strassen"
SCHIFF,"Wasserfahrzeug grosse"
BOOT,"Kleines Wasserfahrzeug"
PAUSE,"Rastzeit waehrend Fahrt"
WEG,"Pfad zum Ziel"
KURS,"Richtung und Strecke"
NACHT,"Zeit zum Schlafen"
TAG,"Tagesabschnitt einer Reise"
KOFFER,"Behaelter fuer Gepaeck"
GELD,"Zahlungsmittel ueberall"
PASS,"Ausweis zum Grenzuebergang"
VISUM,"Genehmigung fuer Einreise"
MEER,"Wasser zwischen Kontinenten"
STRAND,"Sandiger Ort am Wasser"
BERG,"Hohe Landformation"
WALD,"Viele Baeume zusammen"
FLUSS,"Wasser fliesst zum Meer"
SEE,"Grosses Binnengewaesser"
BRILLE,"Schutz vor Sonnenlicht"
RUCKSACK,"Tragetasche auf Ruecken"
CAMPING,"Uebernachten im Freien"
MOTEL,"Einfache Unterkunft fuer Autos"
HOSTEL,"Budget Schlafplatz"
RESORT,"Luxus Ferienanlage"
OASIS,"Gruene Stelle in Wueste"
HAFEN,"Ort fuer Schiffe"
BAHNHOF,"Station fuer Zuege"
FLUGHAFEN,"Startplatz fuer Flugzeuge"
BUSHALTESTELLE,"Warteplatz fuer Bus"
TANKSTELLE,"Benzin aufbunkern"
RESTAURANT,"Ort zum Essen"
CAFE,"Getranke und Kuchen"
MUSEUM,"Kulturobjekte ausstellen"
KIRCHE,"Religioeser Ort besuchen"
SCHLOSS,"Befestigung auf Huegel"
DENKMAL,"Monument zur Erinnerung"
MARKT,"Plaetze zum Kaufen"
PARK,"Gruene Flaeche zum Spazieren"
WIESE,"Gruenes Grasland"
SONNE,"Waermequelle oben"
WASSER,"Zum Trinken und Schwimmen"
OBST,"Frische Lebensmittel essen"
BROT,"Backware aus Mehl"
FLEISCH,"Tierisches Nahrungsmittel"
KAESE,"Milchprodukt hart"
BUTTER,"Streichfett gelb"
MILCH,"Kuehprodukt weiss"
TRITT,"Stufe zum Besteigen"
STIEGE,"Stufen hinauf"
FAHRSTUHL,"Aufzug mechanisch"
ROLLTREPPE,"Stufen bewegen sich"
WAGEN,"Eisenbahn Transportmittel"
LUST,"Freude am Reisen"
ERLEBNIS,"Denkwuerdiges Ereignis"
ABENTEUER,"Spannende Unternehmung"
SOUVENIR,"Andenken mitnehmen"
FOTOGRAFIE,"Bild mit Kamera"
EINTRITT,"Gebuehr zum Eingang"
GAST,"Besuchende Person"
GASTGEBER,"Person beherbergt andere"
UNFALL,"Schadenhafte Begebenheit"
VERSICHERUNG,"Sicherheitsschutz kaufen"
NOTFALL,"Krisenhafte Situation"
ARZT,"Mediziner behandelt"
APOTHEKE,"Medikamente dort"
POLIZEI,"Behoerde fuer Recht"
TAXI,"Fahrdienst privat"
MIETAUTO,"Fahrzeug zeitweise nutzen"
TICKET,"Fahrtausweis besorgen"
PLAN,"Reisevorbereitung dokumentieren"
VERPACKUNG,"Gepaeck einpacken"
LEBENSMITTEL,"Proviant zum Essen"
LATERNE,"Lichtquelle portable"
ZELT,"Unterkunft tragbar"
SCHLAFSACK,"Behaelter zum Schlafen"
KOMPASS,"Navigation mit Magnetfeld"
REISEBUERO,"Fachgeschaeft fuer Reisen"
BROSCHUER,"Informationshaendchen besorgen"
GUIDE,"Fachkundiger Begleiter"
GRUPPE,"Mehrere Reisende zusammen"
SPRACHE,"Kommunikationsmittel lokal"
DIALEKT,"Lokale Sprechweise"
KULTUR,"Kunst und Brauchtum"
TRADITION,"Althergebrachte Sitte"
FESTIVAL,"Grossveranstaltung feierlich"
SIGHTSEEING,"Sehenswuerdigkeiten besichtigen"
WANDERUNG,"Fussreise landschaftlich"
BOOTSFAHRT,"Kahnfahrt am Wasser"
SAFARI,"Wildnis Expedition beobachtend"
CRUISE,"Schifffahrt luxurioes"
URLAUB,"Freizeiten ohne Arbeit"
BACKOFEN,"Kochgerät für Brot"
REZEPT,"Anleitung zum Kochen"
MESSER,"Schneidewerkzeug in der Küche"
GAUMEN,"Geschmack empfinden"
SALZ,"Würzmittel weiß"
ZUCKER,"süßer Stoff"
FETT,"Butter oder Öl"
TEIG,"Mehl und Wasser gemischt"
BRATEN,"Fleisch im Ofen"
KOCHEN,"mit Hitze zubereiten"
BACKEN,"Brot machen"
KUCHEN,"süße Mehlspeise"
SALAT,"rohes Gemüse"
SUPPE,"flüssiges Gericht"
SOSSE,"würzige Flüssigkeit"
TELLER,"Essgeschirr flach"
LOEFFEL,"Essbesteck zum Rühren"
GABEL,"Essbesteck mit Zacken"
MESSINGBECHER,"Trinkgefäß aus Metall"
SAFT,"Getränk aus Früchten"
WEIN,"alkoholisches Getränk"
BIER,"gäriges Getränk"
GEFLÜGEL,"Vogel zum Essen"
KARTOFFEL,"stärkehaltiges Gemüse"
TOMATE,"rote Frucht würzig"
ZWIEBEL,"würzige Gemüseknolle"
KNOBLAUCH,"würziger Gemüseknolle"
KAROTTE,"orange Wurzel süßlich"
SPINAT,"grünes Blattgemüse"
TRAUBE,"kleine runde Frucht"
APFEL,"runde rote Frucht"
BIRNE,"gelbliche längliche Frucht"
PFLAUME,"blaue süße Frucht"
ERDBEERE,"rote kleine Frucht"
HIMBEERE,"rote fragile Frucht"
JOHANNISBEERE,"schwarze kleine Frucht"
BROMBEERE,"schwarze dornige Frucht"
KIRSCHE,"rote süße Frucht"
PFIRSICH,"flaumige orange Frucht"
APRIKOSE,"orange kleine Frucht"
MANDARINE,"orange segmentierte Frucht"
ZITRONE,"gelbe saure Frucht"
BANANE,"gelblich gekrümmte Frucht"
ANANAS,"exotische stachelige Frucht"
KOKOSNUSS,"braune harte Frucht"
MELONE,"große grüne Frucht"
WASSERMELONE,"große rote saftige Frucht"
ROHRZUCKER,"kristalline weiße Substanz"
HONIG,"süßer Bienenprodukt"
MARMELADE,"eingekochte Frucht"
KOMPOTT,"eingekochte Früchte"
KONSERVE,"haltbar gemachtes Lebensmittel"
TIEFKUEHL,"gefrorenes Lebensmittel"
TEEBEUTEL,"heißes Getränk Wasser"
KAKAOPULVER,"schokoladiger Trinkkakao"
MEHL,"weißes Pulver Getreide"
REIS,"weißes Getreide körnig"
NUDEL,"gelbe Teigware"
MAKARONI,"röhrenförmige Teigware"
SPAGHETTI,"lange dünne Teigware"
HAFERFLOCKEN,"flache Getreideflocken"
CORNFLAKES,"knusprige Maisflocken"
MUENSTERKAESE,"würziger gelblicher Käse"
EMMENTALER,"Schweizer Käse mit Löchern"
EDAMER,"holländischer roter Käse"
CAMEMBERT,"weicher cremiger Käse"
MOZZARELLA,"fadenziehender cremiger Käse"
SCHMIERKÄSE,"weicher streichfähiger Käse"
HARTKÄSE,"fester körniger Käse"
WURST,"würzige Fleischware"
SCHINKEN,"geräuchertes Schweinefleisch"
SPECK,"durchwachsenes Fleisch"
LEBERWURST,"würzige feine Streichwurst"
BLUMENKOHL,"weißes Kohlgemüse"
BROCCOLI,"grünes Kohlgemüse"
KOHLRABI,"grüne kugelige Knolle"
CHICOREE,"bitter-blattes Gemüse"
LATTICH,"grünes rohes Blattgemüse"
ENDIVIEN,"bitter-lockiges Blattgemüse"
GRUENWAL,"großer Fisch mild"
HERING,"silberner Salzwasserfisch"
DORSCH,"weißfleischiger Meeresfisch"
KABELJAU,"großer weißer Fisch"
MAKRELE,"öliger silberner Fisch"
SARDINE,"kleine ölreiche Fische"
GAENSE,"großer Watervogel"
PUTENBRATEN,"großes Geflügel Weihnacht"
LAMM,"junges Schaf Fleisch"
RINDFLEISCH,"Rinderkuh Fleisch"
KALBFLEISCH,"Kalb Fleisch zart"
ALPEN,"Bergkette zwischen Italien und Schweiz"
INSEL,"Land von Wasser umgeben"
DORF,"Kleine ländliche Gemeinde"
BUCHT,"Einbuchtung der Küstenlinie"
ATLAS,"Kartenbuch der Welt"
GLOBUS,"Modell der Erdkugel"
KANAL,"Künstliche Wasserstraße"
DELTA,"Flussmündungsgebiet mit Verzweigungen"
EBENE,"Flaches Landgebiet"
TIEFLLAND,"Gebiet unter Meereshöhe"
HOCHLAND,"Erhobenes Plateaugebiet"
GEBIRGE,"System von Bergen"
GRAT,"Scharfe Bergrückenlinie"
SCHLUCHT,"Tiefe enge Talform"
TAL,"Vertiefung zwischen Bergen"
KLUFT,"Tiefe Felsenspaltung"
ABHANG,"Abfallendes Gelände"
HÜGEL,"Kleine Bodenerhebung"
MORAENE,"Gesteinsansammlung von Gletschern"
GLETSCHER,"Fließende Eismasse im Hochgebirge"
FJORD,"Norwegische Meeresbucht"
MOOR,"Sumpfgebiet mit Torf"
SUMPF,"Feuchtes Gelände"
OASE,"Wasserstelle in der Wüste"
WUESTE,"Trockenlandgebiet ohne Vegetation"
STEPPE,"Grasbewachsene Flachlandschaft"
TUNDRA,"Baumlose polare Landschaft"
SAVANNE,"Tropische Grasfläche mit Bäumen"
URWALD,"Dichter tropischer Wald"
REGENWALD,"Tropischer Wald mit hohem Niederschlag"
NADELWALD,"Wald mit Fichten und Kiefern"
LAUBWALD,"Wald mit blattabwerfenden Bäumen"
HEIDE,"Tiefland mit Heidekraut"
SUMPFGEBIET,"Nasses mooriges Terrain"
OZEAN,"Riesiges Weltmeer"
ATLANTIK,"Großer Ozean zwischen Amerika und Europa"
PAZIFIK,"Größter Ozean der Welt"
INDISCH,"Ozean zwischen Afrika und Asien"
ARKTIS,"Nordpolare Eisregion"
